taxonomy,EvenMock_r1,EvenMock_r2,EvenMock_r3,f0_b0_b_p1_r1,f0_b0_b_p2_r1,f0_b0_b_p3_r1,f0_b0_b_p4_r1,f0_b0_b_p5_r1,f0_b0_b_p6_r1,f0_b0_f_p1_r1,f0_b0_f_p2_r1,f0_b0_f_p3_r1,f0_b0_f_p4_r1,f0_b0_f_p5_r1,f0_b0_f_p6_r1,f0_b100_b_p1_r1,f0_b100_b_p1_r2,f0_b100_b_p1_r3,f0_b100_b_p1_r4,f0_b100_b_p2_r1,f0_b100_b_p2_r2,f0_b100_b_p2_r3,f0_b100_b_p2_r4,f0_b100_b_p3_r1,f0_b100_b_p3_r2,f0_b100_b_p3_r3,f0_b100_b_p3_r4,f0_b100_b_p4_r1,f0_b100_b_p4_r2,f0_b100_b_p4_r3,f0_b100_b_p4_r4,f0_b100_b_p5_r1,f0_b100_b_p5_r2,f0_b100_b_p5_r3,f0_b100_b_p5_r4,f0_b100_b_p6_r1,f0_b100_b_p6_r2,f0_b100_b_p6_r3,f0_b100_b_p6_r4,f0_b100_f_p1_r1,f0_b100_f_p1_r2,f0_b100_f_p1_r3,f0_b100_f_p1_r4,f0_b100_f_p2_r1,f0_b100_f_p2_r2,f0_b100_f_p2_r3,f0_b100_f_p2_r4,f0_b100_f_p3_r1,f0_b100_f_p3_r2,f0_b100_f_p3_r3,f0_b100_f_p3_r4,f0_b100_f_p4_r1,f0_b100_f_p4_r2,f0_b100_f_p4_r3,f0_b100_f_p4_r4,f0_b100_f_p5_r1,f0_b100_f_p5_r2,f0_b100_f_p5_r3,f0_b100_f_p5_r4,f0_b100_f_p6_r1,f0_b100_f_p6_r2,f0_b100_f_p6_r3,f0_b100_f_p6_r4,f100_b0_b_p1_r1,f100_b0_b_p1_r2,f100_b0_b_p1_r3,f100_b0_b_p1_r4,f100_b0_b_p2_r1,f100_b0_b_p2_r2,f100_b0_b_p2_r3,f100_b0_b_p2_r4,f100_b0_b_p3_r1,f100_b0_b_p3_r2,f100_b0_b_p3_r3,f100_b0_b_p3_r4,f100_b0_b_p4_r1,f100_b0_b_p4_r2,f100_b0_b_p4_r3,f100_b0_b_p4_r4,f100_b0_b_p5_r1,f100_b0_b_p5_r2,f100_b0_b_p5_r3,f100_b0_b_p5_r4,f100_b0_b_p6_r1,f100_b0_b_p6_r2,f100_b0_b_p6_r3,f100_b0_b_p6_r4,f100_b0_f_p1_r1,f100_b0_f_p1_r2,f100_b0_f_p1_r3,f100_b0_f_p1_r4,f100_b0_f_p2_r1,f100_b0_f_p2_r2,f100_b0_f_p2_r3,f100_b0_f_p2_r4,f100_b0_f_p3_r1,f100_b0_f_p3_r2,f100_b0_f_p3_r3,f100_b0_f_p3_r4,f100_b0_f_p4_r1,f100_b0_f_p4_r2,f100_b0_f_p4_r3,f100_b0_f_p4_r4,f100_b0_f_p5_r1,f100_b0_f_p5_r2,f100_b0_f_p5_r3,f100_b0_f_p5_r4,f100_b0_f_p6_r1,f100_b0_f_p6_r2,f100_b0_f_p6_r3,f100_b0_f_p6_r4,f25_b75_b_p1_r1,f25_b75_b_p1_r2,f25_b75_b_p1_r3,f25_b75_b_p1_r4,f25_b75_b_p2_r1,f25_b75_b_p2_r2,f25_b75_b_p2_r3,f25_b75_b_p2_r4,f25_b75_b_p3_r1,f25_b75_b_p3_r2,f25_b75_b_p3_r3,f25_b75_b_p3_r4,f25_b75_b_p4_r1,f25_b75_b_p4_r2,f25_b75_b_p4_r3,f25_b75_b_p4_r4,f25_b75_b_p5_r1,f25_b75_b_p5_r2,f25_b75_b_p5_r3,f25_b75_b_p5_r4,f25_b75_b_p6_r1,f25_b75_b_p6_r2,f25_b75_b_p6_r3,f25_b75_b_p6_r4,f25_b75_f_p1_r1,f25_b75_f_p1_r2,f25_b75_f_p1_r3,f25_b75_f_p1_r4,f25_b75_f_p2_r1,f25_b75_f_p2_r2,f25_b75_f_p2_r3,f25_b75_f_p2_r4,f25_b75_f_p3_r1,f25_b75_f_p3_r2,f25_b75_f_p3_r3,f25_b75_f_p3_r4,f25_b75_f_p4_r1,f25_b75_f_p4_r2,f25_b75_f_p4_r3,f25_b75_f_p4_r4,f25_b75_f_p5_r1,f25_b75_f_p5_r2,f25_b75_f_p5_r3,f25_b75_f_p5_r4,f25_b75_f_p6_r1,f25_b75_f_p6_r2,f25_b75_f_p6_r3,f25_b75_f_p6_r4,f50_b50_b_p1_r1,f50_b50_b_p1_r2,f50_b50_b_p1_r3,f50_b50_b_p1_r4,f50_b50_b_p2_r1,f50_b50_b_p2_r2,f50_b50_b_p2_r3,f50_b50_b_p2_r4,f50_b50_b_p3_r1,f50_b50_b_p3_r2,f50_b50_b_p3_r3,f50_b50_b_p3_r4,f50_b50_b_p4_r1,f50_b50_b_p4_r2,f50_b50_b_p4_r3,f50_b50_b_p4_r4,f50_b50_b_p5_r1,f50_b50_b_p5_r2,f50_b50_b_p5_r3,f50_b50_b_p5_r4,f50_b50_b_p6_r1,f50_b50_b_p6_r2,f50_b50_b_p6_r3,f50_b50_b_p6_r4,f50_b50_f_p1_r1,f50_b50_f_p1_r2,f50_b50_f_p1_r3,f50_b50_f_p1_r4,f50_b50_f_p2_r1,f50_b50_f_p2_r2,f50_b50_f_p2_r3,f50_b50_f_p2_r4,f50_b50_f_p3_r1,f50_b50_f_p3_r2,f50_b50_f_p3_r3,f50_b50_f_p3_r4,f50_b50_f_p4_r1,f50_b50_f_p4_r2,f50_b50_f_p4_r3,f50_b50_f_p4_r4,f50_b50_f_p5_r1,f50_b50_f_p5_r2,f50_b50_f_p5_r3,f50_b50_f_p5_r4,f50_b50_f_p6_r1,f50_b50_f_p6_r2,f50_b50_f_p6_r3,f50_b50_f_p6_r4,f75_b25_b_p1_r1,f75_b25_b_p1_r2,f75_b25_b_p1_r3,f75_b25_b_p1_r4,f75_b25_b_p2_r1,f75_b25_b_p2_r2,f75_b25_b_p2_r3,f75_b25_b_p2_r4,f75_b25_b_p3_r1,f75_b25_b_p3_r2,f75_b25_b_p3_r3,f75_b25_b_p3_r4,f75_b25_b_p4_r1,f75_b25_b_p4_r2,f75_b25_b_p4_r3,f75_b25_b_p4_r4,f75_b25_b_p5_r1,f75_b25_b_p5_r2,f75_b25_b_p5_r3,f75_b25_b_p5_r4,f75_b25_b_p6_r1,f75_b25_b_p6_r2,f75_b25_b_p6_r3,f75_b25_b_p6_r4,f75_b25_f_p1_r1,f75_b25_f_p1_r2,f75_b25_f_p1_r3,f75_b25_f_p1_r4,f75_b25_f_p2_r1,f75_b25_f_p2_r2,f75_b25_f_p2_r3,f75_b25_f_p2_r4,f75_b25_f_p3_r1,f75_b25_f_p3_r2,f75_b25_f_p3_r3,f75_b25_f_p3_r4,f75_b25_f_p4_r1,f75_b25_f_p4_r2,f75_b25_f_p4_r3,f75_b25_f_p4_r4,f75_b25_f_p5_r1,f75_b25_f_p5_r2,f75_b25_f_p5_r3,f75_b25_f_p5_r4,f75_b25_f_p6_r1,f75_b25_f_p6_r2,f75_b25_f_p6_r3,f75_b25_f_p6_r4,FieldBlank,IGAPark,LogMock_r1,LogMock_r2,LogMock_r3,MittelmoleWarnemunde,Muhlendamm,NeptunWerft,PCRcontrol_r1,PCRcontrol_r2,PCRcontrol_r3,SABMarinaBramow,Stadthafen,TEcontrol_r1,TEcontrol_r2,TEcontrol_r3,WarnemundeStrand
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Dokdonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,0,1,2,1,0,1,0,0,0,3,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,2,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Dyella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,7,7,4,0,8,4,4,1,6,0,1,0,3,1,5,0,0,0,10,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,2,2,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,7,3,1,0,2,5,2,1,0,0,1,0,0,0,0,0,2,3,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Frateuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,2,2,1,0,1,0,1,0,0,1,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Luteibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Metallibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Oleiagrimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Pseudofulvimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,12,0,0,6,1,3,5,5,1,14,6,5,0,4,4,4,0,3,1,17,1,2,0,21,0,6,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,2,1,0,1,1,4,0,0,2,1,1,0,1,1,0,0,0,3,2,0,0,4,0,1,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,1,3,1,4,1,9,0,0,0,2,0,0,0,1,0,0,0,1,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0,1,2,2,4,6,3,4,2,4,0,1,1,3,3,0,0,4,0,6,2,8,0,5,3,2,2,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rudaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Tahibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,4,1,0,0,2,1,0,0,1,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,8,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,3,0,0,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae,0,0,1,0,159,0,0,90,1,0,1,1,0,0,0,9,6,10,8,5,5,17,1,0,6,5,8,4,5,3,7,0,0,5,0,0,14,1,5,1,0,0,7,0,1,3,5,1,0,1,1,0,4,1,1,1,0,1,1,0,9,0,6,67,10,75,73,63,4,87,25,59,2,53,22,86,0,42,15,118,4,54,2,151,6,43,3,2,2,1,17,4,0,4,6,2,0,2,0,2,5,0,1,3,0,5,3,1,0,3,0,6,4,7,12,18,4,5,7,15,5,3,12,24,6,3,6,6,1,2,7,19,21,5,3,32,2,4,2,25,8,2,2,0,2,1,3,3,0,1,1,20,0,7,0,2,1,3,2,16,6,14,1,12,16,31,9,59,3,2,0,9,9,2,0,1,1,8,0,13,0,30,0,3,4,11,4,2,5,0,1,2,5,1,1,1,0,0,0,2,2,1,0,5,1,1,0,69,10,15,17,47,36,35,17,25,22,20,1,8,7,26,1,4,2,9,0,73,14,31,2,7,23,15,16,4,5,1,7,3,1,0,5,2,2,3,4,5,0,1,2,3,0,4,5,0,0,3,1,2,0,0,2,0,0,0,1,0,0,0,3,1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Arenimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Luteimonas,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,2,0,0,1,0,1,3,0,0,1,0,0,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,3,1,4,1,2,0,2,0,0,0,4,0,1,2,4,0,2,0,6,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,3,1,0,0,4,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,2,0,1,2,0,0,0,2,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,2,4,2,2,6,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,4,4,0,3,1,4,1,6,3,8,0,4,0,8,0,5,0,18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,2,1,1,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,1,0,1,0,1,3,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,5,1,0,2,0,1,0,1,0,3,0,1,0,1,0,4,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
